eps,n_elements,h,tfpm_l2,tfpm_eps_h1,lagrange_l2,lagrange_eps_h1,lagrange_iter,lagrange_primal_inf,lagrange_stationarity_inf,lagrange_residual_inf
6.2500000000000000e-02,64,1.5625000000000000e-02,1.2126863470954111e-05,1.6562372496741248e-05,2.2388141014384810e-08,1.0980705752252949e-06,1,0.0000000000000000e+00,1.6653345369377348e-15,1.6722734308416420e-15
3.1250000000000000e-02,64,1.5625000000000000e-02,1.3685414801506671e-05,1.7261940318192901e-05,4.4725331868424819e-08,1.5705571745563744e-06,1,2.2204460492503131e-16,7.0950190167451410e-16,7.1123662515049091e-16
1.5625000000000000e-02,64,1.5625000000000000e-02,1.4895282840986857e-05,1.7703926715379304e-05,8.9247366341105471e-08,2.2307980861827096e-06,1,0.0000000000000000e+00,5.0653925498522767e-16,5.0653925498522767e-16
7.8125000000000000e-03,64,1.5625000000000000e-02,1.5825873520343456e-05,1.7957258622541922e-05,1.7768681341051974e-07,3.1529331220296449e-06,1,0.0000000000000000e+00,3.6082248300317588e-16,3.6082248300317588e-16
3.9062500000000000e-03,64,1.5625000000000000e-02,1.6519243066548909e-05,1.8099853119072999e-05,3.5218565217406599e-07,4.4328937612712903e-06,1,0.0000000000000000e+00,1.3877787807814457e-16,1.3877787807814457e-16
1.9531250000000000e-03,64,1.5625000000000000e-02,1.7021674970582093e-05,1.8192832083940332e-05,6.9196131163191723e-07,6.1828601198895536e-06,1,0.0000000000000000e+00,6.2450045135165055e-17,6.2450045135165055e-17
9.7656250000000000e-04,64,1.5625000000000000e-02,1.7380442240004856e-05,1.8277071536986551e-05,1.3368548748405632e-06,8.5025593528976665e-06,1,0.0000000000000000e+00,4.8572257327350599e-17,4.8572257327350599e-17
